文献番号,出願番号,出願日,公知日,発明の名称,出願人/権利者,FI
特開2003-175144,            特願2001-377778,2001/12/11,2003/06/24,雪上滑走具,藤田　信行,",A63C5/06@A,A63C5/06@C,"
特開2003-174903,            特願2002-347412,2002/11/29,2003/06/24,スノーボードブーツ及びスノーボードビンディングシステム,株式会社シマノ,",A43B5/04@S,A63C5/00@C,A63C9/00,101@A,他,"
特開2003-171528,            特願2001-372984,2001/12/06,2003/06/20,ポリオキシメチレン樹脂組成物,東レ株式会社              他,",C08K5/3492,C08L59/00,C09K15/30,"
特開2003-169876,            特願2002-346295,2002/11/28,2003/06/17,ショートスキーのためのスキービンディング,ガスポ　シュポルトアルティケル　ウント　ガルテンメーベル　ゲゼルシャフト　ミット　ベシュレンクテル　ハフツング,",A63C9/02,"
特開2003-164555,            特願2002-347411,2002/11/29,2003/06/10,スノーボードビンディング装置及びスノーボードビンディングシステム,株式会社シマノ,",A63C5/00@C,A63C9/00,101@D,A63C9/02,他,"
特開2003-147162,            特願2001-348776,2001/11/14,2003/05/21,ポリオキシメチレン樹脂組成物,東レ株式会社,",C08K5/3492,C08L59/00,"
特開2003-147161,            特願2001-348775,2001/11/14,2003/05/21,ポリオキシメチレン樹脂組成物,東レ株式会社,",C08K5/3445,C08L59/00,"
特開2003-144600,            特願2001-349785,2001/11/15,2003/05/20,スキー用プレート,一▲やなぎ▼　達幸,",A63C5/06@B,A63C9/00@C,"
特開2003-135646,            特願2001-336950,2001/11/01,2003/05/13,スキー用ビンディングの調整治具,有限会社グランデ,",A63C11/26,"
特表2005-507293,            特願2003-539793,2002/11/01,2003/05/08,運搬器具,ポウル・エドワード・トールマン,",A63C5/00@A,A63C5/00@C,A63C11/02@A,"
特開2003-125808,            特願2001-328010,2001/10/25,2003/05/07,雪上歩行具,株式会社エキスパートオブジャパン,",A43B3/18@C,A43C15/00@Z,A43C15/02,101,他,"
特表2005-506162,            特願2003-537998,2002/10/21,2003/05/01,飛行スポーツ用デバイスのデモンストレーション・デバイス,ノル，クリスティアン,",A63J5/00,B64D23/00,G09F21/06,"
特開2003-117047,            特願2001-314987,2001/10/12,2003/04/22,スキー板のビンディング,株式会社スクラム,",A63C9/00@B,A63C9/20,A63C9/24,"
特表2006-501130,            特願2003-533869,2002/10/11,2003/04/17,免疫応答を調節するための二重特異性抗体の使用,メルク・シャープ・アンド・ドーム・コーポレーション,",A61K39/395@C,A61K39/395@L,A61K45/00,他,"
特表2005-505597,            特願2003-534435,2002/10/09,2003/04/17,４－ハロエテニルフェニルトロパン：セロトニントランスポーター画像化剤,エモリー　ユニバーシティー,",A61K49/02@C,C07D471/08,C07F9/00@Z,他,"
特開2003-062148,            特願2002-188119,2002/06/27,2003/03/04,スキー板の保持台,前田　政儀,",A63C11/04,"
特開2003-062147,            特願2002-219927,2002/07/29,2003/03/04,スノーボード用ビンディング装置およびブーツ,ケイ‐ツー、コーポレーション,",A43B5/04@Z,A43C11/14,A63C5/00@C,他,"
特開2003-054008,            特願2002-173834,2002/06/14,2003/02/26,脱着式プリンタ部品のプリンタとの互換性を確立する分離可能なキー装置,ヒューレット・パッカード・カンパニー,",B41J2/01,303,B41J2/01,401,B41J2/01,他,"
特開2003-053965,            特願2002-203966,2002/07/12,2003/02/26,着脱可能なプリンタ構成要素の適切なトウヒール取り付けを確実に行う機構,ヒューレット・パッカード・カンパニー,",B41J2/01,303,B41J2/01,307,B41J2/01,他,"
特開2003-053964,            特願2002-192925,2002/07/02,2003/02/26,インクジェットプリンタ用のオン・アクシスのインク槽の回転機構,ヒューレット・パッカード・カンパニー,",B41J2/01,303,B41J2/01,B41J2/175,113,他,"
特開2003-041091,            特願2001-226855,2001/07/26,2003/02/13,ポリオキシメチレン樹脂組成物,東レ株式会社,",C08K5/134,C08K5/34,C08L59/00,"
特表2004-534626,            特願2003-513652,2002/07/17,2003/01/30,カービング小型そり,セージェンティア　リミテッド,",A63C1/30,A63C5/00@C,A63C5/044,他,"
特開2003-026268,            特願2001-216869,2001/07/17,2003/01/29,ガラス板等の板状物縦置き型パレット,日本板硝子株式会社,",B65D19/38@B,B65D19/44@D,B65D57/00@B,他,"
特開2003-024496,            特願2001-219291,2001/07/19,2003/01/28,スノーボード用ビンディングのセッティング装置,二川　広治,",A63C5/00@C,A63C9/00,101@K,A63C9/02,他,"
特開2003-016612,            特願2001-197148,2001/06/28,2003/01/17,磁気抵抗効果型ヘッドの製造方法,ソニー株式会社,",G11B5/39,"
特開2003-013863,            特願2001-199482,2001/06/29,2003/01/15,容量可変型圧縮機の容量制御装置,株式会社豊田自動織機,",B60H1/32,624@Z,F04B27/08@T,F04B27/08@U,他,"
特表2004-530852,            特願2003-508829,2002/06/13,2003/01/09,自己穿孔ブラインドリベットナット,レック　エンジニアリング,",B21J15/00@T,B21J15/00@U,F16B37/04@U,"
特開2003-000791,            特願2001-183971,2001/06/18,2003/01/07,スノーボード用デッキパット,青山　秀一,",A63C5/00@C,A63C5/06@Z,A63C11/18,"
特表2004-532992,            特願2003-507537,2002/06/20,2003/01/03,仮想壁を用いて界面流体を連通させる微細化分離装置,サイトノーム　インコーポレイティッド,",G01N27/26,315@K,G01N27/26,331@E,G01N30/16@C,他,"
特表2005-537034,            特願2003-506703,2002/06/21,2003/01/03,表面特性を改善した本体,ベルント　シュペート,",A63B37/00@E,A63B37/14,A63B39/00@A,他,"
特表2005-514187,            特願2003-507051,2002/06/20,2003/01/03,流体をマイクロ流体システムと相互接続するための仮想壁流体相互接続ポートを含むマイクロ流体システム,サイトノーム　インコーポレーテッド,",B01J19/00,321,B81B1/00,G01N37/00,101,"
特表2004-531157,            特願2003-506168,2002/04/11,2002/12/27,コンピューティング装置、コンピューティング装置とリモート・コンピュータ・システムとの間でデータを通信する方法,インターナショナル・ビジネス・マシーンズ・コーポレーション,",H04L12/56@B,H04L12/56,300@A,H04L12/70@B,他,"
特開2002-370988,            特願2001-167510,2001/06/01,2002/12/24,腹膜透析または連続的な腎臓置換治療のための２部分の重炭酸塩ベースの溶液,バクスター・インターナショナル・インコーポレイテッド,",A61J1/00,351@A,A61J3/00,314@Z,A61K33/10,他,"
特開2002-369905,            特願2001-179623,2001/06/14,2002/12/24,スノーボード用ビンディング,株式会社カーメイト,",A63C5/00@C,A63C9/00,101@C,A63C9/02,他,"
実登3090503,            実願2002-003362,2002/06/05,2002/12/20,１対のスノーボードビンディングをスノーボードに取付ける装置,ザ・バートン・コーポレイション,",A63C5/00@C,A63C9/00,101@K,A63C9/02,他,"
特表2004-528931,            特願2003-503035,2002/06/04,2002/12/19,改良されたクッショニング及びサポートを有する靴,ヴィーヴァー，ロバート・ビー，ザ・サード,",A43B7/32,A43B13/18,A43B23/02@Z,他,"
特開2002-355353,            特願2001-163911,2001/05/31,2002/12/10,スキー板等に於けるワックス処理装置,斎藤　伸一,",A63C11/08,"
特表2004-527326,            特願2002-590774,2001/05/23,2002/11/28,スキー・ブーツ,ハイエルリンク・アイ－フレックス・ゲーエムベーハー,",A43B5/04@A,A43B5/04@B,A43B5/04@F,他,"
特開2002-338679,            特願2002-105287,2002/04/08,2002/11/27,ポリカーボネートの製造方法,バイエル　アクチェンゲゼルシャフト,",C08G64/24,"
特開2002-325877,            特願2002-113456,2002/04/16,2002/11/12,スノーボードビンディング装置、スノーボードビンディングシステム及びスノーボードブーツ,株式会社シマノ,",A43B5/04@S,A43B5/04@Z,A63C5/00@C,他,"
特表2004-535665,            特願2002-585147,2002/05/01,2002/11/07,消散性セラミック製ボンディングツールチップ,レイバー，スティーヴン，フレデリック              他,",B23K20/00@H,C04B35/00@E,H01L21/60,301@G,他,"
特表2004-533291,            特願2002-583045,2002/04/22,2002/10/31,バインディングシステム,サンダース　マーチン,",A63C5/00@C,A63C9/00@B,A63C9/00,101@A,他,"
特開2002-306666,            特願2001-119500,2001/04/18,2002/10/22,雪上用滑走板,株式会社ブルーモリス,",A63C5/06@B,A63C5/12@D,"
特開2002-306665,            特願2001-119650,2001/04/18,2002/10/22,スノーボード，スキー板及びアッパーエッジ取付具,株式会社パークウェイ,",A63C5/00@A,A63C5/00@C,A63C5/048,"
実登3088994,            実願2002-002641,2002/04/01,2002/10/04,除雪器具を装着したスキーストック,坂田　徳行,",A63C11/22,"
特開2002-263237,            特願2001-062711,2001/03/06,2002/09/17,スキービンディングの組付装置,篠塚　正一,",A63C5/06@B,A63C9/00@C,"
特開2002-263236,            特願2002-023481,2002/01/31,2002/09/17,スノーボードビンディング,エッチティーエム　スポーツ－ウント　フライツァイトゲレーテ　アクチェンゲゼルシャフト,",A63C5/00@C,A63C9/00@A,A63C9/00,101@M,他,"
特開2002-248195,            特願2001-102126,2001/02/23,2002/09/03,スノーボードのビンディング着脱装置,川村　治,",A63C5/00@C,A63C9/00,101@Z,A63C9/02,他,"
特開2002-239058,            特願2001-047105,2001/02/22,2002/08/27,スノーボードのビンディング取付構造,富士重工業株式会社,",A63C5/00@C,A63C9/00,101@G,A63C9/02,他,"
特開2002-239050,            特願2001-047092,2001/02/22,2002/08/27,スキー，スノーボード等の練習具,株式会社パークウェイ,",A63B69/18@A,A63C5/00@C,"
実登3087869,            実願2001-006122,2001/08/15,2002/08/23,スノーボード用雪落とし携帯ブラシ,宮崎　孝一,",A63C11/18,"
特開2002-235131,            特願2002-007465,2002/01/16,2002/08/23,金属材料,ＴＯＴＯ株式会社,",C22C9/04,"
特開2002-231884,            特願2001-357957,2001/11/22,2002/08/16,高出力半導体モジュール及びその用途,アーベーベー　シュヴァイツ　アクチェンゲゼルシャフト,",H01L25/04@C,"
特開2002-224261,            特願2002-008628,2002/01/17,2002/08/13,特にスキービンディング用の安全装置,ベネトン　グループ　ソシエタ　ペル　アチオニ,",A63C9/00@C,"
特開2002-219204,            特願2001-075071,2001/01/25,2002/08/06,スノーボード用補助具,濱田　己喜子,",A63C5/00@C,A63C9/00,101@P,A63C9/02,他,"
実登3087486,            実願2002-000272,2002/01/24,2002/08/02,滑走ボード,ザ・バートン・コーポレイション,",A63C5/00@A,A63C5/00@C,"
特開2002-210067,            特願2001-012575,2001/01/22,2002/07/30,雪面滑走用具,田中　正春,",A63C5/00@C,A63C5/00@Z,A63C5/06@C,他,"
特開2002-210065,            特願2001-009952,2001/01/18,2002/07/30,乗物,株式会社ジイケイ京都,",A63B69/00,512,A63C5/00@Z,A63C5/08,他,"
実登3087238,            実願2001-007950,2001/12/06,2002/07/26,滑走装置,ザ・バートン・コーポレイション,",A63C5/00@Z,A63C17/18,"
特開2002-204702,            特願2001-034619,2001/01/09,2002/07/23,スノーボード用シューズおよびこれを取り付けるスノーボード用ビンディング,有限会社ハブシステムス　インク,",A43B5/04@Z,A43B13/14@Z,A63C5/00@C,他,"
特表2004-522498,            特願2002-555891,2002/01/02,2002/07/18,スポーツまたはレジャー用のステアリング可能なロコモーションデバイス,ホガー　ソリューション,",A63C17/01,A63C17/28,B62K17/00,"
特開2002-200212,            特願2001-000735,2001/01/05,2002/07/16,携帯用チューンナップスタンド及びセット方法,清水　孝恵,",A63C5/00@C,A63C11/08,F16M11/34@Z,他,"
特開2002-195328,            特願2001-378407,2001/12/12,2002/07/10,スキーまたはこれに類するもののフレックス運動を減衰するための装置,マーカー　ドイチユラント　ゲゼルシヤフト　ミツト　ベシユレンクテル　ハフツング,",A63C5/075,F16F9/24,"
実登3086979,            実願2001-008461,2001/12/27,2002/07/05,急降下防止バックル,ザ・バートン・コーポレイション,",A44B11/14,A63C5/00@C,A63C9/00,101@C,他,"
実登3086977,            実願2001-008459,2001/12/27,2002/07/05,異なる曲げ特性を備える滑走ボード,ザ・バートン・コーポレイション,",A63C5/00@C,A63C5/12@J,A63C5/12@M,"
特表2004-516118,            特願2002-552650,2000/12/22,2002/07/04,スノーボードビンディング,ニトロ・アーゲー,",A63C5/00@C,A63C9/00,101@C,A63C9/02,他,"
特表2004-534862,            特願2002-553442,2001/12/21,2002/07/04,酸化剤および錯体化合物を備える組成物,エア　プロダクツ　アンド　ケミカルズ　インコーポレイテッド,",B08B3/08@Z,C09K3/00,108@D,C11D3/28,他,"
特表2004-516117,            特願2002-552647,2000/12/22,2002/07/04,特にスノーボード用のビンディング,ニトロ・アーゲー,",A63C5/00@C,A63C9/00,101@Z,A63C9/02,他,"
実登3086500,            実願2001-007945,2001/12/06,2002/06/21,滑走装置,ザ・バートン・コーポレイション,",A63C5/00@C,"
特開2002-165914,            特願2000-358340,2000/11/24,2002/06/11,ステップイン・スノーボードビンディング,エメリー　エス．アー．,",A63C5/00@C,A63C9/00@B,A63C9/00,101@A,他,"
特表2004-514512,            特願2002-545791,2001/11/05,2002/06/06,特にスキービンディング用の調整・ロック装置,ベネトン　グループ　ソシエタ　ペル　アチオニ,",A63C9/00@A,"
特開2002-143366,            特願2000-347642,2000/11/15,2002/05/21,スノーボード用ビンディングのハイバックカバー,株式会社ジャパーナ,",A63C5/00@C,A63C9/00,101@P,A63C9/084,他,"
特開2002-142812,            特願2000-345623,2000/11/13,2002/05/21,装着用バンドのひんじユニット,セイコーインスツル株式会社,",A44C5/14@B,A44C5/14@G,A44C5/14@J,"
特開2002-140581,            特願2000-336644,2000/11/02,2002/05/17,商品販売支援方法、商品販売支援システム及びコンピュータ読み取り可能なプログラム,株式会社ディージーエー,",G06F17/50,610@C,G06F17/60,310@E,G06F17/60,318@G,他,"
特開2002-126157,            特願2001-274802,2001/09/11,2002/05/08,ビンディング支持プレート及びボード形ランナ,アトミック　オーストリア　ゲゼルシャフト　ミット　ベシュレンクテル　ハフツング,",A63C9/00@C,A63C9/00@Z,"
特開2002-126156,            特願2000-363867,2000/10/23,2002/05/08,スノーボード簡易ビンディング,西岡　巌,",A63C5/00@C,A63C9/00@A,A63C9/00,101@C,他,"
