文献番号,出願番号,出願日,公知日,発明の名称,出願人/権利者,FI
特開2000-010790,            特願平11-146387,1999/05/26,2000/01/14,グロ―バル衝突判定用のユニタリデ―タ構造体のシステム、方法及びコンピュ―タプログラム製品,サン・マイクロシステムズ・インコーポレーテッド,",G06F9/44,322@C,G06F8/41,100,"
特表2002-518068,            特願2000-554237,1999/06/14,1999/12/23,改良型締めストラップを備えたスキーブーツ,フォーゲル，レイモンド，デー．,",A43B5/04@K,"
特開平11-342236,            特願平10-167720,1998/05/31,1999/12/14,スノーボード用バインディング装置,メイキン株式会社,",A63C5/00@C,A63C9/00,101@G,A63C9/02,他,"
特開平11-342004,            特願平11-120513,1999/04/27,1999/12/14,スノ―ボ―ドブ―ツのスタンス支持機構,株式会社シマノ,",A43B5/04@Z,A63C5/00@C,A63C9/00,101@P,他,"
特表2002-516721,            特願2000-551826,1999/04/27,1999/12/09,ダイヤモンド様コーティングを有するステント,ブルー・メディカル・デバイシーズ・ベスローテン・フェンノートシャップ,",A61L29/00@Z,A61L31/00@Z,A61L29/00,他,"
特開平11-321767,            特願平11-116365,1999/04/23,1999/11/24,ビンディングペダル,ルック　サイクル　インターナショナル,",B62M3/08@B,"
特開平11-299958,            特願平11-033495,1999/02/10,1999/11/02,スキ―板,スキー・ロシニョール・ソシエテ・アノニム,",A63C5/00@A,A63C5/12@E,A63C5/12@M,"
特開平11-296560,            特願平10-069677,1998/03/19,1999/10/29,配線設計装置およびその方法,インターナショナル・ビジネス・マシーンズ・コーポレーション,",G06F15/60,658@F,G06F17/50,658@F,G06F17/50,658@G,他,"
特表2002-510237,            特願平11-551044,1999/04/08,1999/10/21,スノーボード用ステップイン型ビンディング,株式会社ジャパーナ,",A63C5/00@C,A63C9/00,101@A,A63C9/00,101@E,他,"
特表2002-511429,            特願2000-543168,1999/04/08,1999/10/21,直鎖の水不溶性ポリサッカライドから調製される徐放性錠剤,セラニーズ　ベンチャーズ　ゲー・エム・ベー・ハー,",A61K9/22,A61K47/36,"
特表2002-511399,            特願2000-543116,1999/04/08,1999/10/21,肺投与のための粒状賦形剤,セラニーズ　ベンチャーズ　ゲー・エム・ベー・ハー,",A61K9/16,A61K9/72,A61K47/36,"
特表2002-509779,            特願2000-540902,1999/03/26,1999/10/07,適正スタンス指示装置,キモーリー　ケニス　ロバート,",A63B69/18@A,A63B69/36,531@A,A63B69/36,532@A,"
特表2002-505935,            特願2000-535426,1999/02/04,1999/09/16,スノーボード,ハイターン　エイエス,",A63C5/00@C,A63C5/04,"
特表2002-505359,            特願2000-534594,1999/02/20,1999/09/10,天然に生じる再生可能な原材料、特にイソソルビトールに基づく生物分解性ポリマー,セラニーズ　ベンチャーズ　ゲー・エム・ベー・ハー,",C08G63/12,C08G63/60,C08L101/16,"
特表2002-504410,            特願2000-533187,1999/02/01,1999/09/02,幾何学的に制御された捻れと可撓性を備えるスキーボード,ケー　－　２　コーポレーション,",A63C5/03,A63C5/07,A63C5/12@M,"
特開平11-235410,            特願平10-054519,1998/02/19,1999/08/31,雪上滑走板,篠塚　正一,",A63C5/00@C,A63C9/00,101@Z,A63C9/02,他,"
特開平11-226171,            特願平10-044295,1998/02/12,1999/08/24,スノーボード用ビンディング,株式会社カーメイト,",A63C5/00@C,A63C9/00,101@C,A63C9/02,他,"
特許2938431,            特願平10-077442,1998/03/25,1999/08/23,配線設計装置、配線判定装置およびこれらの方法,インターナショナル・ビジネス・マシーンズ・コーポレーション,",G06F15/60,658@F,G06F17/50,658@F,G06F17/50,658@G,他,"
特表2002-503741,            特願2000-531495,1999/01/21,1999/08/19,シンジオタクチックモノビニリデン芳香族ポリマーの充填剤含有組成物及びその成形された物品,出光興産株式会社,",C08J5/00,C08K3/34,C08K7/10,他,"
特表2002-502743,            特願2000-530275,1999/02/03,1999/08/12,レクリエーション装置に関する改良,ダートシングゼット（エヌゼット）リミテッド,",A63C17/12,B62D51/02,B62D63/00,"
特表2002-502728,            特願2000-530376,1999/02/05,1999/08/12,リングバインダー機構,ブレインウェイブ　リミテッド,",B42F13/22,"
特開平11-218561,            特願平10-020908,1998/02/02,1999/08/10,半導体集積回路,株式会社東芝,",G01R31/28@R,G01R31/28@V,G06F1/04,320@B,他,"
特表2002-501811,            特願2000-529314,1999/01/26,1999/08/05,多糖類を使用する物質混合物の分離,セラニーズ・ヴェンチャーズ・ゲーエムベーハー,",B01D15/08,B01J20/24@C,G01N30/48@N,他,"
特開平11-206952,            特願平10-012547,1998/01/26,1999/08/03,スノーボード用ブーツの固定装置,佐々木　彰,",A43B5/04@S,A63C5/00@C,A63C9/00,101@A,他,"
特開平11-206405,            特願平10-029188,1998/01/27,1999/08/03,スノーボード用シューズ,有限会社ハブシステムス　インク,",A43B5/00,310,A43B5/04@R,A43B13/14@A,"
特開平11-192337,            特願平09-366909,1997/12/26,1999/07/21,スノーボード用ビンディング装置,杉本　和俊              他,",A63C5/00@C,A63C9/00,101@D,A63C9/02,他,"
実登3088015,            実願2000-600049,1998/11/18,1999/07/15,スノーボードビンディングがロックされたことを示す方法および装置,ザ・バートン・コーポレイション,",A63C5/00@C,A63C9/00,101@A,A63C9/08@A,他,"
実登3078244,            実願平11-600007,1998/11/18,1999/07/15,スノーボード用ブーツのストラップのための取付具,ザ・バートン・コーポレイション,",A43B5/00,310,"
